model,ADE,FDE,RMSE,MAE,MSE,hidden_dim,num_layers,dropout,lr,batch_size,fitness_rmse,lambda_phy
LSTM,1.781138896942139,1.94942319393158,1.4549111127853394,1.1369879245758057,2.1167662143707275,,,,,,,
PI_LSTM_lambda_0.05,1.7919200658798218,2.0187582969665527,1.4646143913269043,1.1477981805801392,2.1450953483581543,,,,,,,
RNN,1.7997831106185913,2.0331664085388184,1.4648000001907349,1.1506474018096924,2.145638942718506,,,,,,,
PSO_PI_LSTM,1.796688199043274,1.9772807359695437,1.4695698022842407,1.1471647024154663,2.159635305404663,96.0,1.0,0.2,0.001,64.0,1.462896466255188,0.02
PI_RNN_lambda_0.05,1.8024163246154783,2.011476516723633,1.4699931144714355,1.1494805812835691,2.160879850387573,,,,,,,
PSO_LSTM,1.822349071502685,2.048780918121338,1.4770569801330566,1.166285514831543,2.181697368621826,192.0,1.0,0.2,0.001,64.0,1.475619912147522,
EKF_like_kinematic,5.868792533874512,6.299708366394043,4.513487339019775,3.78195858001709,20.371566772460938,,,,,,,
