model,ADE,FDE,RMSE,MAE,MSE
EKF_like_kinematic,5.868792533874512,6.299708366394043,4.513487339019775,3.78195858001709,20.371566772460938
RNN,1.7997831106185913,2.0331664085388184,1.4648000001907349,1.1506474018096924,2.145638942718506
PI_RNN_lambda_0.05,1.8024163246154785,2.011476516723633,1.4699931144714355,1.1494805812835693,2.1608798503875732
LSTM,1.7811388969421387,1.9494231939315796,1.4549111127853394,1.1369879245758057,2.1167662143707275
PI_LSTM_lambda_0.05,1.7919200658798218,2.0187582969665527,1.4646143913269043,1.1477981805801392,2.1450953483581543
