epoch,train_total,train_pos,train_current,train_bias,train_pi,train_smooth,val_total,val_pos,val_current,val_bias,val_pi,val_smooth
1,0.14678582829286346,0.006216154094800878,0.47063993136828486,0.2696320233720183,3.8916161895301773,0.0020402803595407286,0.09865617921818857,0.005267157463032914,0.25787866315116054,0.23476442896358776,3.6637580610634624,0.0018054792052539794
2,0.08979193256607214,0.0047135124949749954,0.2341246670711608,0.19817680890417,3.682586450801873,0.002287277978272264,0.0924751287387765,0.005076573407425937,0.23261920966963837,0.22419822163869074,3.686284491939821,0.0023467770414291947
3,0.07789170173026513,0.004052977931934484,0.19488663386336025,0.1661142666897665,3.644592329009473,0.0027008036811244107,0.08935114806804104,0.004962651010130303,0.22013970626609913,0.22064251333885435,3.654068787505661,0.0025959745264355688
4,0.07035021091976028,0.0035961165558315395,0.171321219026919,0.14353298899475833,3.6213964413076205,0.0029568869217489815,0.09081664743544399,0.005168696001118076,0.22141550192107326,0.23093063918781886,3.648976480566937,0.0026903891608766888
5,0.06530563482204085,0.0032823110976667137,0.1557606539277063,0.1280701441604405,3.6065640742142007,0.0031357707695661434,0.09077693073473114,0.005057293640179695,0.2241542634566625,0.22532803246978184,3.665669924362846,0.0027630755201090073
6,0.06172424390714608,0.0030491063059818607,0.14496082975973007,0.1166670396609336,3.5967091083210696,0.003272178171850417,0.09264594870028288,0.005402998109658559,0.22266783230719359,0.24384372187017098,3.659190853284753,0.0029057058860156417
7,0.05916459636232868,0.002885907676491277,0.13718655840703914,0.10861891164616769,3.589144451255877,0.003376334378511238,0.09307178222442018,0.005486728697185121,0.222767101507256,0.24719863962436067,3.6563951895893485,0.002979250690157431
8,0.056941214972154444,0.002729854157190639,0.130799393536388,0.10105349289260296,3.5822914782853847,0.0034675217880780654,0.09204743244077848,0.0055078042065387295,0.21755047199518784,0.2473440880143232,3.6528845651598942,0.003070132838589126
9,0.05526819079287551,0.0026118945356932762,0.12601165925851768,0.09528971449065159,3.577909198468763,0.0035446786616830537,0.09057288000808246,0.0053711162921027756,0.21429978678019151,0.24056086584283173,3.650939101011857,0.0031023875311880873
10,0.05417903095866335,0.0025400666889134893,0.1227892239961318,0.09170811638501367,3.574845470535089,0.003608034409073569,0.09189003319584806,0.005461011795583518,0.217763877587042,0.24571454894575087,3.6546413612918576,0.0031583398321940416
11,0.05296528326027388,0.002455014825364725,0.11930268416259106,0.08754477068676958,3.571716125314527,0.003667376799007596,0.09072034771200539,0.005508937526737218,0.2105274954032207,0.24796086744251458,3.655381413943526,0.0032916563886987125
12,0.05204311803279456,0.002390763281169685,0.11659637205842613,0.08447536538279081,3.569663813202031,0.00372245739054467,0.09150826487161111,0.005543972828823641,0.2136112679467685,0.24943320969837732,3.653252174930296,0.003245586856551792
13,0.05110787580102127,0.002334552129406644,0.11362302591884606,0.08176995470311578,3.5667822513224916,0.003781163373757655,0.09201513896126678,0.00554370745782322,0.2158914130995239,0.2503697342705791,3.644499692944513,0.0033676227129779863
14,0.05051124462559357,0.002292507359183415,0.11194724886215005,0.07963964476891433,3.565418401887945,0.0038230839289963925,0.0918279215382493,0.005539883174521821,0.21470494142995364,0.2510002338121767,3.6430414708455405,0.003181847131608621
15,0.04970695448705375,0.002234613259972746,0.10960133761870935,0.07700404983475095,3.5625991144279023,0.003867298731962161,0.09155315750923709,0.005596585297174212,0.21244627580780914,0.2520783459402729,3.6451780923484027,0.003359133036672205
16,0.04923970762697313,0.00220577229457998,0.10817704592888894,0.07554774126361122,3.5609509430879394,0.0038997170086333037,0.09138669442698576,0.005506685278580888,0.21376844177557075,0.2488084132825767,3.642147350477136,0.003474188574252353
17,0.0488467425157935,0.0021810095814494396,0.10701557177058411,0.07422068914814271,3.5602529302482524,0.003928484361900275,0.09265321552407914,0.005610267586486441,0.21761545378574426,0.2525449465552102,3.646320004670516,0.003376169763829397
18,0.04827393378412995,0.002140974681535215,0.10531908737033543,0.07235379786545693,3.5588220932370143,0.003965121858330987,0.09202518752778786,0.00559107096882645,0.2144497287981752,0.25266748118616533,3.648630432681761,0.0034269828286183916
