epoch,train_total,train_pos,train_current,train_bias,train_pi,train_smooth,val_total,val_pos,val_current,val_bias,val_pi,val_smooth
1,0.23534763903425346,0.005870038076301971,1.1930652563478141,0.26678444200741824,2.3290837211766844,0.0026519589975368286,0.22649854114435722,0.005806560510992194,1.1807978645269421,0.2697155727247397,2.1539373614546182,0.0024201448749804843
2,0.19986474351606506,0.004988926719565631,1.0042235922961502,0.22693983515301105,1.9852366625270488,0.0029667654658395866,0.19705634174485137,0.005286639744564351,0.9737173705584761,0.24608599482498308,1.876986536440642,0.0034608252275249232
3,0.18293087592677792,0.0043485456644162136,0.9225348987125215,0.19642334364289823,1.8630723223498642,0.003459480015441436,0.18863682539912238,0.004789218329730025,0.9338792741609656,0.22080652162632433,1.8594806266452955,0.003660898738068299
4,0.17712122565100652,0.00402936755696516,0.9097717325415917,0.18093140738202917,1.8279723557201726,0.003673842033398324,0.1915585688283478,0.005012356583565554,0.9731965547368147,0.2312534882158473,1.8323345144520635,0.003791534395645494
5,0.17347557654045137,0.0038213226368523532,0.903046084946974,0.17087090338683275,1.8061750074884166,0.003803140737181896,0.18549416661262513,0.004691139012089242,0.8972349384280218,0.21570681862835434,1.8556206538988196,0.003776223759315368
6,0.17073029569217138,0.00365848543014817,0.8975780845685528,0.16294387942762356,1.791693881617323,0.0038866334369726187,0.18563854769520138,0.004761011198888519,0.8993501548214236,0.219046436915795,1.8416230912968732,0.003916724819285066
7,0.16848415450218054,0.003525698126608016,0.8932493150979589,0.1564835307475943,1.7795908156991251,0.003948164509435803,0.1853147073275801,0.004708565794572612,0.8996102770238683,0.21657364249326613,1.8458172393190688,0.0040068382528219105
8,0.16666306080359108,0.0034150308417946903,0.8897927832889755,0.15111093029176226,1.7703244817429695,0.003995579872974513,0.18593621057185575,0.004726756518932762,0.8822179101169974,0.2176191060897233,1.871103573370671,0.003911044165937473
9,0.16494150900445864,0.003310401196543351,0.8868926010595839,0.1460210751959009,1.7612417565734737,0.004034449213028232,0.18606040732065837,0.004747935325329098,0.9293601572064386,0.21958517004954425,1.8181447125725123,0.004038190909850316
10,0.16366937749035362,0.003234129822930595,0.8850505271885953,0.14223160279957156,1.754321539065359,0.0040642349301272425,0.18374331492790277,0.004637782520179272,0.8854830864477848,0.21318352750197486,1.843490041055541,0.0040334716067258
11,0.16252816509608156,0.0031634337642648513,0.8830756960596358,0.13873283124513014,1.7488790564783858,0.004084959658460526,0.18590117020883423,0.004764527814857581,0.9148124219507411,0.22081050687974346,1.82427450981693,0.004038260307378959
12,0.1614070811577712,0.00309514926631181,0.881236629432773,0.13535981403115374,1.7431518973672366,0.0041080168914242685,0.18473907516831936,0.004656973760011538,0.8952912746650585,0.2150733806474701,1.8456437950687132,0.0041337025105089385
13,0.16052323971253746,0.003043824994196155,0.8800878911126968,0.13278645509172918,1.7379418825698443,0.004126432918555896,0.18532494995386703,0.004742806451540251,0.9002849174029586,0.2190703662995627,1.8346694222049438,0.004070009670881689
14,0.15964523624041066,0.002989874246123384,0.8789782656172047,0.1300869224885976,1.7333669601878765,0.004142698611848164,0.18470645732119464,0.0046973035737123015,0.8993443785681241,0.21739798423248358,1.8308294844420059,0.00417213995428081
15,0.15900974683386446,0.0029537747841768013,0.877943211210934,0.1282911245489713,1.729596154284033,0.004155240178362738,0.18585797542592752,0.0047968351414251695,0.9034754979644997,0.2215165043241088,1.8312680124752763,0.004132149779899181
16,0.15815749466863477,0.0028971794959365953,0.8771196800176648,0.12546200285490997,1.7258219811733713,0.004165774802875938,0.18466631796740104,0.004694072388220525,0.9253171032753543,0.21705025140498427,1.805510749346968,0.004159901008576802
17,0.1576189908053317,0.0028659724195026957,0.8768548615072578,0.12396177331409099,1.7219404212406704,0.004179362479932837,0.1845348596572876,0.004636751829552046,0.9160717564043791,0.21424449556380296,1.8245034324811853,0.004089265449026573
18,0.15712741288882112,0.0028374234166451367,0.8762307791640793,0.12248458285311982,1.7192119795501108,0.004186437448914747,0.18482654132704804,0.004703824712074888,0.9058248801300491,0.217363673798362,1.8267563820714536,0.004183158357182274
19,0.1564510479782926,0.00279380454618183,0.8753380242006132,0.12034128360496545,1.7160220654825247,0.004195892213679865,0.1867334853272507,0.00484451001190135,0.9212662874166516,0.22378998797008956,1.8209322136035864,0.004209821664417784
20,0.1560093270066362,0.0027672097877161597,0.8752710874312659,0.11899320243061452,1.7131781201372482,0.004202759242475835,0.1845499027967453,0.004672563986663801,0.8927042455258577,0.21547220274919401,1.84254501823757,0.004086423816564291
21,0.15560344694983638,0.002742613192568639,0.8749305558303375,0.11777329815273206,1.7107718045232705,0.0042106885853190725,0.1853238715849061,0.004691608430740113,0.9093464116220888,0.21811921257828024,1.8304022194959115,0.004197201436061574
