epoch,train_total,train_pos,train_current,train_smooth,val_total,val_pos,val_current,val_smooth
1,0.16594794731530096,0.10245178012040831,0.6348004233911171,0.001612369394456239,0.1627514687275541,0.09997436689380286,0.6276549109514209,0.0011609702717404866
2,0.16434729374837184,0.10244246977320863,0.6189344701135134,0.0011375935121736341,0.16230352134117182,0.10017407561730647,0.6212024552234705,0.000919921058068133
3,0.16481547275932185,0.10244405712091652,0.6236342676372014,0.0007987861010905424,0.16338522091119187,0.10010734971450723,0.6327189917287964,0.0005970764691280066
4,0.1651629710451663,0.10245087371541353,0.6270518463738957,0.0006911559952485643,0.16480285226262134,0.10019773062242977,0.6460056318753008,0.0004557350159663221
5,0.1670877806251834,0.10245588958596591,0.6462851919397311,0.0003370509433374966,0.16373823548918184,0.10036302483340968,0.6336949402560359,0.0005715456814707621
6,0.1658061255399238,0.10245028823786888,0.6335073730377924,0.0005098787792032781,0.16450356113910675,0.10078711482752925,0.6370949162192967,0.0006953543495332849
7,0.1655389904045417,0.10244629887789179,0.6308745263851948,0.0005237765882258722,0.16368794478540835,0.10042739366707594,0.6325580377440522,0.0004746130698198534
8,0.1655556513527659,0.10244375532199138,0.6310676001525073,0.0005134900049258247,0.16275043382333673,0.1003144703230996,0.6243044654390086,0.0005515730520170452
9,0.1655382930343936,0.1024419148913575,0.6309146549282113,0.0004911321018558327,0.16456059421318164,0.10068824211151703,0.6386829877659894,0.00040520664628433147
10,0.16539893116319154,0.10244290677336185,0.6295110150785427,0.000492185821288649,0.1632272440350574,0.10004168510955314,0.631805680261142,0.0004989758550857558
11,0.16543316903420363,0.102444601201246,0.6298362949383185,0.0004937324989982351,0.16324487164573392,0.10003824068584304,0.6320189128267593,0.00047386863519964013
12,0.16570447997622362,0.10244116751019752,0.6325911854325368,0.0004192803959486578,0.1644471664843352,0.09964170045092485,0.6480090172187142,0.00045629923033824974
13,0.16549331160485128,0.10244122405945638,0.6304771515814661,0.0004371182911452793,0.16341583084023517,0.09999231726190318,0.6341962586140287,0.0003886827065379939
14,0.16544647473528765,0.10243896941393306,0.6300312616938636,0.00043780569708086627,0.16331820101841638,0.10012773851985517,0.6318662997052289,0.0003831334455188472
15,0.1656635600831938,0.10243922526211965,0.6322026492162274,0.0004068684758749592,0.16303417921066285,0.09993838841327722,0.6309117485060208,0.00046145855955293647
16,0.16546128069465946,0.10243838235112698,0.63018302049005,0.0004595089486316155,0.1630797795575598,0.10006849591714749,0.6300597432523534,0.0005307972825510239
17,0.16545732388955467,0.10243845413288961,0.6301445174464034,0.00044167504900551594,0.16429794641508572,0.0997042123640793,0.6459117687266805,0.0002555887570530446
18,0.16555444558338103,0.10243620566366622,0.6311410194262708,0.0004136830675743489,0.1627832184459852,0.10016949340830679,0.6260775304324385,0.0005970392197073586
19,0.16536181899010519,0.10243586266262932,0.6292139467334155,0.00045604891092834634,0.1628725959736368,0.10007399163989053,0.6279339761526689,0.0005205723999432572
20,0.16549880875218234,0.10243595024307815,0.6305884617544849,0.00040111181941789655,0.16385910778287527,0.10007091433846432,0.6378258412679036,0.0005608003640655375
21,0.16535915185896752,0.10243744324872706,0.6291731318509357,0.00043942126791199235,0.16277985019614732,0.10025466088108395,0.6252046533460203,0.00047226373382601075
22,0.16540455955131206,0.10243581131378315,0.62964451674645,0.00042954285098403675,0.1637629571341086,0.10023814012606938,0.6352189664702484,0.000291894546230796
23,0.16559160109607823,0.1024364908410402,0.6315120668983855,0.00039025002156768,0.16326880538118058,0.10000171773502792,0.6326276941023011,0.0004317149444402236
24,0.16557035267920722,0.10243737194478882,0.631290628098553,0.000391676291368331,0.16321886811221856,0.10024429287772248,0.6296951706996863,0.0005057162733114176
25,0.165368303357691,0.10243605136488783,0.6292802249412852,0.00042283825810823214,0.1630367694557577,0.10017053255136463,0.6286173757746599,0.00044979516553787
26,0.1654743301927673,0.10243584312353568,0.6303439090187752,0.00040949173851467004,0.16323831886485002,0.10029814876162488,0.6293482246122498,0.0005346514452113837
27,0.16553342529458784,0.10243629407537157,0.630931053013535,0.0004024744564927652,0.16308564507097437,0.10015855327118998,0.6292336077897445,0.0003730004156561757
28,0.16562757599082298,0.10244207000621357,0.6318166237292082,0.000384241998760612,0.1634401904690093,0.09982407447738924,0.6361214984879977,0.00039649738426374246
29,0.1654474872229756,0.10243876586913075,0.6300442470516971,0.00042954663521712396,0.16334065928839256,0.100236426933952,0.630989333719447,0.0005297463488481615
30,0.1656408530592178,0.10243817184726645,0.6319908517389318,0.000359493615491871,0.1631663112985915,0.10012773705910945,0.6303432623061581,0.0004246577188082417
31,0.16535395423521906,0.10243863234041146,0.6291101500933708,0.00043058880245868374,0.16326688470011172,0.10023868738050046,0.6302364026498104,0.0004555852130068925
32,0.16544492776300102,0.10243746301809453,0.6300356741672224,0.0003896198165853649,0.1631135850954747,0.1001150198639303,0.6299378200613934,0.00047820272646925373
33,0.1654708440148312,0.10243717097483312,0.6302977224176222,0.0003899744502177142,0.1630259777860365,0.09999312234875085,0.6302933080991109,0.00035235152385481027
