epoch,train_total,train_pos,train_current,train_bias,train_smooth,val_total,val_pos,val_current,val_bias,val_smooth
1,0.12294595554304419,0.006101295072523642,0.6305266619291364,0.268903268981671,0.001133840294888409,0.11527403034766515,0.006078296551858818,0.5521574687681337,0.26983778572168904,0.001242804177618329
2,0.08067375568931394,0.004829784505015266,0.3375132698375986,0.21037275350809592,0.0018092258109230989,0.07578285456135653,0.004987506426114967,0.2658368165043817,0.22095464026949543,0.0020737286218428523
3,0.062234127099716395,0.00400112611142529,0.2417430295581403,0.17018399345973512,0.002189834570384914,0.07453890535883281,0.004981126409374933,0.25455138179184733,0.22039258923327576,0.0024121582759949176
4,0.05531395207107931,0.003577434760157798,0.21861593389708556,0.14925441943118292,0.0024039167131935527,0.0749381704295891,0.0050820709969848395,0.24650114265732143,0.22590727587260198,0.0024528859948226506
5,0.05067793302111497,0.0032773663006090475,0.20502392757926174,0.13436499536086807,0.002517411182836994,0.07440358643082605,0.005060811881434874,0.24513282922385396,0.22401937055965696,0.0025616214962109274
6,0.04666673106115551,0.003009275011810827,0.19428171568454916,0.12101628664648063,0.00260263430651501,0.07602042560603307,0.005180378833596689,0.24594217467999113,0.23109542225517224,0.00267436309069719
7,0.04356256775832571,0.002798976360822162,0.18619145917398836,0.11058928701534528,0.0026587347100155262,0.07682468040093132,0.00525027285705226,0.2471999935136325,0.2341396559820227,0.002647564472873574
8,0.04103709302345911,0.0026287436971660725,0.1795918293890252,0.10211050537024965,0.0027064574855740335,0.07721923768822697,0.00532044440664459,0.24469424099853074,0.2370104453239752,0.002727893180821253
9,0.038968834673395805,0.002492020361862043,0.17387084901653707,0.09531131578318575,0.002746551447950967,0.07736528656491334,0.005306186434556393,0.24488913348446723,0.23771314615216377,0.0027556333789682907
10,0.037232266122201464,0.0023792127327411194,0.1687640592992676,0.08974410984530952,0.002782481674644826,0.0777236723061921,0.005360282143469954,0.24316278776569644,0.24009674798988778,0.0027760554710268112
11,0.03506109828787314,0.0022349606421400115,0.1626412598835015,0.08266827945951102,0.002835517857478272,0.07954803713594658,0.005518910426565486,0.24450498604083407,0.24775113338005283,0.0028400211169559886
12,0.034071569658275964,0.0021742467460286173,0.1594239577435065,0.079631272154812,0.002867214403626187,0.08173372301848038,0.005708365148986164,0.24487235862275827,0.25754931546434545,0.0028257653036195297
13,0.032981468839675,0.0021017113962552006,0.1562480333243838,0.07613008768032796,0.002893599907379775,0.08418310644013294,0.00584918459183604,0.25440123373010887,0.26432307705175184,0.0029181988260884215
14,0.03194215009073046,0.0020333906186447625,0.15321103800898012,0.07279185634808263,0.002928389057574898,0.08064919709900151,0.005604127052739478,0.2448285750478938,0.2526704915040645,0.002811280577511027
15,0.031171971383117,0.0019878749914918536,0.15037521902374598,0.07058533920579076,0.0029506136475720944,0.08153472473742306,0.005710452051428349,0.24273958250750666,0.2576053035967592,0.002925256755364978
16,0.02994916565972332,0.0019073045776701893,0.1468594752402039,0.06663029651346908,0.0029853791991175456,0.08319190497890763,0.005788699991947067,0.2497721814521845,0.2619811545035977,0.002975458399973054
17,0.02936601219883123,0.0018714404728255904,0.14486725627043232,0.06488886545027758,0.0030072559906405014,0.08221074357369672,0.0057458950168034735,0.24706095735923103,0.2586455133685815,0.0029648970383340896
18,0.02874944841886406,0.001833240155491199,0.14283584326715448,0.0630117637879113,0.0030270743766880556,0.08146951106233873,0.00570626817819109,0.24261383767749953,0.25735905756855354,0.003004631663632134
19,0.028334888605134827,0.001809387028192249,0.14117486370004728,0.06188757372624385,0.003050002682217499,0.0836751974756303,0.005889243731626134,0.24651873076825903,0.2655192714294662,0.0030224975974879405
20,0.027733873406398123,0.0017704988239953916,0.13930134642568434,0.06001287388733702,0.003066473477946182,0.08212104542445445,0.005747189952789442,0.24359326190015543,0.25992460615662993,0.002960645359279453
21,0.027342484393320963,0.0017454864795051715,0.1380456598750306,0.0588080454368152,0.0030822418673584857,0.08320691334510195,0.005821710469390171,0.24632274059627368,0.2636071760006573,0.003149241125832001
22,0.027123060255440617,0.0017349628235809275,0.13683743383301958,0.058366905975107325,0.0030972422683191165,0.08221314612333325,0.005772968001096793,0.24143982532058936,0.2613270531336682,0.0030783535075792367
23,0.026157924236101148,0.0016710632071226805,0.1341900114319586,0.055183096109278205,0.003124026253537948,0.08302201685870902,0.005824632847384698,0.24465698346193285,0.26350332801627074,0.003101867987409882
