model,ADE,FDE,RMSE,MAE,MSE
EKF_like_kinematic,41.413238525390625,42.204071044921875,30.66754150390625,26.841154098510742,940.4981079101562
RNN,8.16088581085205,8.553775787353516,6.93968391418457,5.129383563995361,48.159210205078125
PI_RNN_lambda_0.05,8.334114074707031,8.57996654510498,7.124710559844971,5.2531232833862305,50.76150131225586
LSTM,7.978570938110352,8.213163375854492,6.869852542877197,5.038901329040527,47.19487380981445
PI_LSTM_lambda_0.05,7.9220356941223145,8.162589073181152,6.805848121643066,4.998970985412598,46.3195686340332
