model,ADE,FDE,RMSE,MAE,MSE,hidden_dim,num_layers,dropout,lr,batch_size,fitness_rmse,lambda_phy
PSO_LSTM,7.868618011474609,8.109872817993164,6.7707390785217285,4.943480968475342,45.8429069519043,256.0,1.0,0.2,0.001,64.0,7.493321418762207,
PI_LSTM_lambda_0.05,7.922035694122314,8.162589073181152,6.805848121643066,4.998970985412598,46.3195686340332,,,,,,,
PSO_PI_LSTM,7.974549293518066,8.242494583129883,6.855067729949951,5.02562952041626,46.9919548034668,256.0,1.0,0.1,0.001,64.0,7.483779907226562,0.02
LSTM,7.978570938110352,8.213163375854492,6.869852542877197,5.038901329040527,47.19487380981445,,,,,,,
RNN,8.16088581085205,8.553775787353516,6.93968391418457,5.129383563995361,48.159210205078125,,,,,,,
PI_RNN_lambda_0.05,8.334114074707031,8.57996654510498,7.124710559844971,5.253123283386231,50.76150131225586,,,,,,,
EKF_like_kinematic,41.41323852539063,42.20407104492188,30.66754150390625,26.841154098510746,940.4981079101562,,,,,,,
