epoch,train_total,train_pos,train_current,train_bias,train_smooth,val_total,val_pos,val_current,val_bias,val_smooth
1,0.12801088687339432,0.006450942443371375,0.6457942194287081,0.2848199263339704,0.0016534961074876058,0.12718734555659086,0.006419373095602445,0.6298334535723147,0.2888623564562936,0.0012153619568713982
2,0.12312131881417696,0.006082374710929012,0.6307018657510571,0.2697980728761503,0.0009140854203200072,0.12367663195772448,0.006125883566701542,0.6227768373558487,0.27632547983851125,0.0007966760666770996
3,0.12017226039314369,0.005869875332537275,0.62369590455306,0.25962158677494057,0.0008475357883688888,0.12523444748961407,0.006344129793939815,0.6212251770530922,0.2837949955532516,0.0008798995377846818
4,0.12020020018428502,0.005872927088105345,0.6233008028241664,0.2599453559178497,0.0008119677737341734,0.12783443920681442,0.006422788262772172,0.6325641926129659,0.29074615740041804,0.0005997974698877205
5,0.12169108062933197,0.006003155629757954,0.6236955492955557,0.26655341258749954,0.0007685542828972234,0.12346040266147558,0.006152069594846039,0.6197627169533052,0.2766155812127003,0.0008942751554853242
6,0.12053397092673596,0.005934113011951896,0.6193400768661104,0.26328910961111635,0.0008026358694644108,0.12383630962993787,0.00615406608570745,0.6173789860787599,0.27968061058590377,0.0008220831322065298
7,0.12330506780934877,0.006119054802695355,0.6297778421346693,0.27100890177179815,0.0006446425291453151,0.13199115268907685,0.006658974841722976,0.6434320383037346,0.30492460964404156,0.00040496189974626335
8,0.12453442897411607,0.006177069188583465,0.63608038707204,0.2737235353442206,0.0004611834317260647,0.1353914080409036,0.007026078334699075,0.6545617102125416,0.314539197805999,0.00013170907986215385
9,0.124796097849837,0.006135877218652771,0.6427230344114837,0.2719286888953815,0.00021772515581820477,0.127421755063361,0.006315041140369747,0.6397369681855907,0.2856531105717455,0.00023928069212116246
10,0.12190725813642546,0.005888209454661262,0.639715423664938,0.26022583286115597,0.00023375818820132278,0.12498832364531531,0.006085868674640854,0.638900179275568,0.27504982399983685,0.0002470235791010107
11,0.12415858374014652,0.006078905467661272,0.6430450830587936,0.26886527898518936,0.00021119559656126776,0.1259259251407955,0.00615801659418081,0.643931183365808,0.2768624136977006,0.00023053427563264858
12,0.12161551904604302,0.0058546302918321596,0.640866923347023,0.2583602137671741,0.00021515084882691023,0.12287821129957835,0.005931367576311248,0.6378888525893722,0.265777477397003,0.0002461002295047207
13,0.12061165736230017,0.005778758217736801,0.6381850613224828,0.2550608006649136,0.00022307862055210269,0.12412382022626157,0.006010720189552808,0.6409465179788894,0.27008026634135107,0.00023928880228903955
