epoch,train_total,train_pos,train_current,train_smooth,val_total,val_pos,val_current,val_smooth
1,0.14650714188160116,0.10246811369573601,0.4401654244076391,0.002248507308617512,0.12571296296603438,0.1002020872572194,0.25485539640205496,0.0025335825711110794
2,0.12518622362342186,0.1024355364327105,0.2272380004432631,0.0026886795965981656,0.12269381271928981,0.10026443704574005,0.22399206286927928,0.003016880052137202
3,0.12168199842625277,0.10242854570194801,0.1922195778830945,0.0031494412947924303,0.12176203420974206,0.10012106890522915,0.21607328570752904,0.003363609873406265
4,0.11963590391316523,0.10242694737945778,0.17174359525804933,0.0034596608119436363,0.12121926409956338,0.10020356273391973,0.20980358897775844,0.00353422395064347
5,0.11822135268555911,0.1024236831908147,0.15760960687317463,0.003670851163091774,0.1213937249676041,0.10002686016110407,0.2132953014045522,0.003733444231683793
6,0.11708593913610431,0.10242111726959793,0.14626565307711964,0.0038256380714661218,0.12106048255035842,0.10008695689059686,0.20934024932764578,0.0039500378554929855
7,0.11618173764976161,0.10241918479211583,0.13723023654264446,0.0039529233732054445,0.1213810957333316,0.09988573064752247,0.21455331746737163,0.004003289864493021
8,0.11545579681250867,0.10241651434927994,0.12998754358007794,0.004052809364445831,0.12165277853133022,0.10012915490330129,0.2148189294355503,0.004173035059556149
9,0.11487528629653448,0.10241609803095121,0.1241781671296489,0.004137156905224605,0.12156877162145532,0.10001891528350719,0.21508000070374944,0.0041855868434776435
10,0.1143652395728212,0.10241487039986605,0.11908290282157144,0.004207885862121795,0.12153384056730547,0.10013044581119565,0.2136202741654023,0.00413672033459812
11,0.11394953139055343,0.10241346125079484,0.11493355875960541,0.004271427976904634,0.12244275837963906,0.1000647433080535,0.22335591023382934,0.004242403025644413
12,0.11361392662428921,0.10241244259766663,0.11158230596719075,0.004325341458314756,0.12176925683021546,0.10007201601802439,0.21654225946336553,0.004301464235059161
13,0.1132540157935881,0.10241185761509969,0.10798370688265155,0.004378753511547487,0.12240518971888915,0.10005127527575562,0.22311005859444108,0.004290816821157933
14,0.11307199441584494,0.10241138445146336,0.10616450821884424,0.004415915671064987,0.12255952307106792,0.1000944939100224,0.2242235761086146,0.004267127657984046
15,0.11281450981506402,0.10241181179319603,0.10358099667786565,0.004459836404847741,0.12228775758501412,0.09999746475530708,0.22245989185830822,0.004430347631968882
16,0.11254930485578304,0.1024104103304091,0.10093848092474553,0.0045046408433644545,0.12267988585648329,0.10012160963424738,0.22514359503552533,0.004391622287477704
17,0.11245079505221443,0.1024099089763673,0.09995584895447915,0.004530106652019002,0.12227103952221248,0.10008128399866215,0.22144491714325504,0.004526336398947498
18,0.1122592356383924,0.10240929518920788,0.09804308904944986,0.004563150727276847,0.12257138665344404,0.1000586863445199,0.22467155505781589,0.004554433265727931
19,0.1121305200531616,0.10240969976505138,0.09674872797283326,0.004594752105041629,0.12229192928214004,0.10018864615326342,0.2205821932381478,0.004506338292165943
20,0.11200059310706259,0.10241013161316669,0.09544267552757855,0.004619401855884008,0.12235226945600648,0.10001611042972924,0.22290785030351168,0.004537342554849127
21,0.11184405424752837,0.102409310020275,0.09388268140606258,0.004647610559411671,0.12266393838239753,0.1000305476223213,0.22587297389127206,0.004609343704646048
22,0.11168816996978183,0.10240859335031569,0.0923277186394725,0.004680477276590979,0.12292279422024022,0.10009686171317446,0.22780378828532455,0.004555352917939856
23,0.11168325961808487,0.10240877476636914,0.09227595203534911,0.004688962512728652,0.12236590091992115,0.10006415028157442,0.22254713091988496,0.004703714837090692
24,0.11150811231901434,0.10240863892800073,0.09052221028910908,0.004725231337297407,0.1220003452413324,0.10007685061554977,0.21877274868453758,0.004621932832011278
25,0.11144308859085197,0.10240885523560131,0.08986803020465942,0.004743033278664077,0.12223953531099402,0.10002764950368716,0.22166279035893038,0.004560661549909391
26,0.11138630903544633,0.10240855011362467,0.08930113327675972,0.004764557872029257,0.12294169563314189,0.10006358570897061,0.22832353649623152,0.004575610083568355
27,0.11119751256815395,0.10240872574272117,0.0874082196938572,0.004796487465439129,0.1227384127335272,0.10007705661179363,0.22614249157905578,0.004710659269891356
28,0.11119769631915458,0.10240797669571626,0.08741611359652525,0.0048108221312240535,0.1222408212578815,0.10009927017533261,0.2209433923907902,0.004721180690587431
29,0.11114151356272076,0.10240809387684362,0.08685142208305699,0.004827744473705133,0.12277845719931782,0.10009665548801422,0.2263420690384464,0.004759449111972598
30,0.11105719811440008,0.102408804053352,0.08599933364808436,0.004846074614049115,0.12269129572052886,0.10005765844600788,0.2258529778321584,0.0048339086762373
31,0.11093708350063604,0.10240776571563559,0.08480609478911011,0.004870828049191839,0.12296474624975869,0.10008617619241493,0.22830483810797983,0.004808578516586103
32,0.11097464723419205,0.102408301285335,0.08517599034469814,0.004874691928341584,0.12265603251388107,0.10008783083808595,0.22519597040224767,0.004860426027975652
33,0.1108616534596151,0.10240795281153041,0.08404717928158817,0.004898275306444484,0.12261181365579799,0.10003783721854721,0.22524695073694423,0.00492810858051846
34,0.11084982302976197,0.10240832656436825,0.08392395334868204,0.004910114846267501,0.12238579756021499,0.10003280221552088,0.22304468958965246,0.004852616513984791
35,0.11073892403623825,0.10240785943746074,0.08281753997699075,0.004931062894624583,0.12255705109713734,0.10010823249471361,0.22401298973353012,0.004751930987165458
36,0.11063139924154025,0.10240717410769769,0.08174681632538514,0.004954354687738492,0.12243560123961905,0.1001222991200461,0.2226538074206615,0.004792078446542871
37,0.11071876357850574,0.1024083118495487,0.08260916166016774,0.004953563785261434,0.12207349481703579,0.10015613797868507,0.21870972407728,0.004638398574422235
38,0.11065276202392875,0.10240767506166028,0.08195407067285561,0.004967989586733328,0.12346310483631881,0.1000693719326586,0.2334517380742059,0.00485587176264844
39,0.11054295690101619,0.10240686310115067,0.08086234058479838,0.004985971942775368,0.12259701303381851,0.10016715691659761,0.22380780485401983,0.004907526505490144
40,0.1105005260660288,0.10240803746320692,0.08042485277438016,0.005000332387376337,0.12227734238341234,0.1001345105741335,0.22094038437846777,0.0048793243491563245
41,0.11051059175228727,0.10240748812224307,0.08053092107244654,0.005001157587991862,0.12254694002434827,0.10008833912576454,0.2240995219954546,0.004864867297797532
42,0.11044908279587763,0.10240746540250739,0.07991436877495013,0.0050180519157422875,0.1228514997691348,0.10011149946071099,0.22691256392693174,0.004874325321906287
43,0.11038623213336088,0.10240704440823746,0.07928863336420454,0.005032439552964816,0.12262714088135872,0.10008160806479661,0.22496482417203378,0.0049050057657278965
44,0.11039757688112141,0.10240758197623503,0.07939629303113274,0.005036554226038619,0.12260879506235538,0.10012353658676147,0.2243624443748723,0.004901368896598401
45,0.11033771528676924,0.10240740128987572,0.07879796036072152,0.005051799682441397,0.12226612894949705,0.10008986162361891,0.2212715900099796,0.004910803414125374
46,0.1103254305272369,0.1024063432723839,0.07868536740158902,0.0050550448261355635,0.12262898777360501,0.10016167018551757,0.2241697379661643,0.00503437539740749
47,0.11021996167370005,0.10240683644343607,0.07762339615315877,0.00507855998669938,0.12255407347022623,0.09998322456297667,0.22521403565786888,0.004944517314704
48,0.11022056779802215,0.1024064784908887,0.07763254430439655,0.005083481844591737,0.12223471986038098,0.10002809706719025,0.22156781900101813,0.004984022151300872
49,0.11022962296255874,0.10240746185572251,0.07771287821970618,0.005087331662621681,0.12290607021770615,0.10004951232498971,0.2280700031881747,0.00495573421654062
50,0.11021669568161539,0.10240689526075655,0.07758886987896439,0.005091339720254976,0.12214490526914597,0.10012755556555762,0.21967701106831647,0.004964828493316536
